,name,age,lifestyle,zip code,family status,car,sports,earnings,living area,label,response
0,VnSEFOuL,62,cozily,50168,married,practical,athletics,102526,urban,no response,0
1,8Tv0hcce,34,active,66479,married,expensive,soccer,33006,urban,no response,0
2,Zny9ysbk,69,healthy,16592,single,expensive,badminton,118760,urban,response,1
3,HV3xCamM,57,cozily,50068,married,practical,soccer,131429,urban,response,1
4,sflRsQ6v,66,cozily,35988,single,practical,badminton,96003,urban,response,1
5,w9voDHj0,21,healthy,60039,single,expensive,badminton,83376,urban,no response,0
6,VUkT58V5,22,healthy,69662,married,practical,badminton,49826,rural,no response,0
7,HzMvC0c1,59,cozily,40432,single,practical,soccer,41166,urban,response,1
8,B9MsYPOR,63,active,55994,single,practical,badminton,134340,urban,response,1
9,mWUY9Cjs,31,active,37460,married,practical,athletics,108695,rural,no response,0
10,Lavsf4Ms,60,cozily,36782,single,practical,unknown,49723,rural,response,1
11,kNAihUVY,38,healthy,12447,single,expensive,soccer,105801,rural,response,1
12,FHL6d3WH,36,active,56504,married,expensive,athletics,79703,rural,no response,0
13,taO86r6P,30,cozily,84343,single,expensive,soccer,68693,rural,no response,0
14,qQSz8WWj,64,healthy,66428,single,expensive,badminton,111755,urban,no response,0
15,waFEJp2V,37,cozily,18272,married,practical,badminton,36430,rural,no response,0
16,CGEljPBt,61,cozily,24254,married,practical,soccer,129420,urban,response,1
17,xQPaw1nF,48,cozily,29470,single,expensive,badminton,78714,rural,no response,0
18,TW0vcILS,15,cozily,78136,married,expensive,soccer,87219,rural,no response,0
19,VzsFKacF,51,cozily,65878,married,expensive,unknown,123879,urban,no response,0
20,39OUyKYK,41,cozily,15047,married,practical,athletics,137658,urban,no response,0
21,9uXUHkgm,30,cozily,87888,single,practical,athletics,89243,rural,no response,0
22,GXQC3KVx,51,active,18734,single,expensive,soccer,22977,rural,no response,0
23,I9SVyAUt,69,active,49871,married,expensive,badminton,26163,rural,response,1
24,hjEpM280,58,healthy,62849,single,expensive,soccer,59449,rural,response,1
25,H1T9XHHR,42,cozily,59763,single,expensive,soccer,131437,urban,no response,0
26,iutFmkL2,46,active,38692,single,expensive,badminton,80137,rural,no response,0
27,YbKy0PQ7,19,cozily,50378,married,practical,unknown,98007,urban,no response,0
28,BQg9yrvw,24,active,87832,married,practical,soccer,67545,urban,no response,0
29,CDXBWyZJ,63,active,86216,single,practical,athletics,91080,urban,response,1
30,3yYxpFte,27,active,96490,married,expensive,soccer,149929,rural,response,1
31,At76h3t6,60,healthy,75536,single,practical,unknown,54813,rural,response,1
32,elkTzJGN,41,healthy,70981,single,practical,unknown,100388,rural,no response,0
33,qVbhy5GA,63,healthy,41117,married,expensive,athletics,116561,urban,response,1
34,F8dwyNuu,15,active,85260,married,expensive,athletics,110335,urban,no response,0
35,gxswUTWs,54,active,98387,single,expensive,unknown,121867,urban,no response,0
36,Q2bygRVO,19,cozily,38819,single,expensive,athletics,28510,rural,no response,0
37,PXKyaUwn,59,cozily,74876,married,expensive,athletics,102274,rural,response,1
38,FnmvD5Rp,27,cozily,68083,married,expensive,badminton,77466,urban,no response,0
39,vw2p7EkR,58,active,87307,married,practical,soccer,63791,urban,response,1
40,n1XQJ0mm,50,active,12609,single,practical,athletics,103364,urban,response,1
41,66MA2Tqh,34,healthy,61340,married,expensive,unknown,70684,rural,no response,0
42,CbG0Z3UF,53,active,89474,single,expensive,athletics,148014,urban,response,1
43,afMFwPFx,26,active,79384,married,practical,soccer,104627,rural,no response,0
44,WHByVff4,33,cozily,87140,single,expensive,soccer,56971,urban,no response,0
45,YkiL3hPG,24,cozily,20122,single,practical,badminton,24389,urban,no response,0
46,FzbVi68D,47,active,43557,single,expensive,unknown,115979,rural,no response,0
47,cAmqKr3E,58,cozily,45422,single,practical,badminton,125512,rural,response,1
48,meSLlsDr,54,active,39049,single,practical,soccer,58106,rural,no response,0
49,h8cFU8xZ,51,healthy,51994,married,practical,soccer,109468,rural,no response,0
50,UbcNhsBi,40,active,58315,single,expensive,badminton,57952,rural,no response,0
51,nJ2tATx4,65,active,94896,married,practical,athletics,47402,rural,response,1
52,13a8vQ3d,28,cozily,83854,single,practical,soccer,87285,rural,no response,0
53,ms7kvQ1h,44,cozily,76491,married,practical,badminton,61316,urban,no response,0
54,mNPrJCok,68,active,63961,married,expensive,soccer,54092,urban,response,1
55,uLesTOhx,15,cozily,71108,married,practical,athletics,78698,urban,no response,0
56,CATLXO8O,56,cozily,82835,single,practical,unknown,63512,urban,response,1
57,zamLhLJM,57,active,10321,single,expensive,soccer,79263,urban,response,1
58,Z9nLYOd3,66,cozily,69458,married,expensive,badminton,96450,rural,response,1
59,KiSlLJtj,36,healthy,78510,married,practical,athletics,97491,urban,no response,0
60,qURcGDrR,19,active,94971,married,practical,athletics,113416,rural,no response,0
61,qJlQXfD0,68,cozily,28981,married,expensive,unknown,83786,urban,no response,0
62,ZdUcVHMV,45,active,61132,single,expensive,soccer,64952,urban,no response,0
63,WoxMSfzB,35,healthy,31796,single,expensive,athletics,93559,rural,no response,0
64,67wSzOcP,59,active,86681,married,practical,soccer,102630,rural,response,1
65,rhkSkZ6X,59,cozily,72854,single,practical,badminton,141220,rural,response,1
66,aR8ZkRSf,67,cozily,11684,married,expensive,badminton,129735,urban,response,1
67,jsmebUjG,16,cozily,39363,married,expensive,athletics,45802,urban,no response,0
68,MjHC01PR,30,active,32323,married,practical,soccer,98925,urban,no response,0
69,drCalP5K,62,healthy,30676,married,practical,athletics,48604,rural,no response,0
70,d7GUIRwb,65,active,25242,married,expensive,soccer,73070,rural,response,1
71,wz16b2Wh,68,healthy,69697,married,expensive,soccer,59331,rural,response,1
72,TOrLzfCS,52,cozily,86626,married,practical,soccer,124014,rural,no response,0
73,ITg8HadT,45,healthy,65979,married,practical,soccer,136460,urban,no response,0
74,kwVG122G,22,healthy,48480,single,expensive,soccer,103454,urban,no response,0
75,gTIEVtVg,59,healthy,34093,single,practical,soccer,80012,rural,no response,0
76,kJz9IJlS,22,cozily,61126,single,practical,badminton,48629,urban,no response,0
77,QbDNGvUt,24,healthy,76439,single,expensive,badminton,123435,urban,no response,0
78,090ca9kJ,66,cozily,12327,married,expensive,athletics,133819,rural,response,1
79,Ir4xHnip,17,active,94864,married,practical,soccer,65063,rural,no response,0
80,kfF8BfcW,25,cozily,69514,single,expensive,unknown,136781,urban,response,1
81,iyElztiL,58,healthy,24216,single,practical,athletics,114007,rural,no response,0
82,ul4UcZsD,15,cozily,16074,married,expensive,badminton,91692,rural,no response,0
83,kUOO2AnO,51,active,56855,single,practical,soccer,75831,urban,no response,0
84,YwwX4mtu,47,cozily,24732,married,expensive,soccer,77331,rural,no response,0
85,2uQoXFQG,23,healthy,51385,single,practical,athletics,78351,urban,no response,0
86,HYdHuHGC,54,healthy,64208,married,practical,soccer,29955,urban,response,1
87,yRUeSAir,15,cozily,32210,single,expensive,soccer,62273,urban,no response,0
88,fN90pzb9,61,healthy,50339,single,practical,athletics,36090,urban,response,1
89,H9fhimaJ,60,healthy,94952,married,practical,soccer,28995,rural,response,1
90,OWxN4PVd,52,active,17844,single,expensive,soccer,72578,urban,no response,0
91,xX7NsmGI,27,cozily,79970,single,practical,soccer,29578,urban,no response,0
92,Kv9WAdXj,39,healthy,11443,single,practical,badminton,43981,urban,response,1
93,neltptuV,69,healthy,67236,single,practical,badminton,73849,urban,response,1
94,8B0TYHsy,25,active,25971,single,practical,athletics,54438,urban,no response,0
95,MzYT0UQu,66,cozily,86689,married,practical,badminton,31668,rural,response,1
96,stD2jLWW,68,cozily,85629,married,practical,athletics,60949,urban,response,1
97,XcxgayS0,59,cozily,72072,single,expensive,athletics,80245,urban,no response,0
98,LUiKqsuT,54,healthy,76910,married,expensive,soccer,37506,rural,no response,0
99,fA791Y1x,44,healthy,31688,single,expensive,unknown,86851,rural,no response,0
100,WVAB6LXa,51,active,35146,married,practical,athletics,115293,rural,no response,0
